1;a;32;23:04:59;15.05.2018
2;a;35;23:05:16;15.05.2018
3;a;31;23:05:31;15.05.2018
4;a;22;23:05:44;15.05.2018
5;a;31;23:05:53;15.05.2018
6;a;35;23:06:05;15.05.2018
7;a;32;23:06:16;15.05.2018
8;a;35;23:06:21;15.05.2018
9;a;31;23:06:35;15.05.2018
10;a;32;23:06:40;15.05.2018
11;a;23;23:07:00;15.05.2018
12;a;32;23:07:14;15.05.2018
13;a;24;23:07:26;15.05.2018
14;a;32;23:07:34;15.05.2018
15;a;34;23:07:40;15.05.2018
16;a;42;23:07:49;15.05.2018
17;a;34;23:08:09;15.05.2018
18;a;15;23:08:26;15.05.2018
19;a;14;23:08:39;15.05.2018
20;a;9;23:08:45;15.05.2018
21;a;14;23:09:04;15.05.2018
22;a;15;23:09:18;15.05.2018
23;a;17;23:09:24;15.05.2018
24;a;25;23:09:36;15.05.2018
25;a;26;23:09:45;15.05.2018
26;a;25;23:09:57;15.05.2018
27;a;33;23:10:11;15.05.2018
28;a;27;23:10:26;15.05.2018
29;a;16;23:10:45;15.05.2018
30;a;11;23:10:50;15.05.2018
31;a;5;23:11:10;15.05.2018
32;a;11;23:11:30;15.05.2018
33;a;16;23:11:36;15.05.2018
34;a;11;23:11:51;15.05.2018
35;a;4;23:12:02;15.05.2018
36;a;11;23:12:13;15.05.2018
37;a;4;23:12:33;15.05.2018
38;a;5;23:12:46;15.05.2018
39;a;1;23:13:03;15.05.2018
40;a;5;23:13:16;15.05.2018
41;a;1;23:13:21;15.05.2018
42;a;5;23:13:31;15.05.2018
43;a;4;23:13:47;15.05.2018
44;a;5;23:13:59;15.05.2018
45;a;4;23:14:13;15.05.2018
46;a;11;23:14:20;15.05.2018
47;a;4;23:14:36;15.05.2018
48;a;3;23:14:44;15.05.2018
49;a;4;23:14:57;15.05.2018
50;a;3;23:15:11;15.05.2018
51;a;4;23:15:28;15.05.2018
52;a;1;23:15:45;15.05.2018
53;a;4;23:16:00;15.05.2018
54;a;11;23:16:20;15.05.2018
55;a;16;23:16:35;15.05.2018
56;a;11;23:16:45;15.05.2018
57;a;4;23:16:52;15.05.2018
58;a;5;23:17:11;15.05.2018
59;a;11;23:17:28;15.05.2018
60;a;5;23:17:33;15.05.2018
61;a;1;23:17:52;15.05.2018
62;a;5;23:18:06;15.05.2018
63;a;11;23:18:26;15.05.2018
64;a;4;23:18:38;15.05.2018
65;a;1;23:18:46;15.05.2018
66;a;4;23:18:52;15.05.2018
67;a;5;23:19:10;15.05.2018
68;a;11;23:19:22;15.05.2018
69;a;16;23:19:30;15.05.2018
70;a;27;23:19:46;15.05.2018
